node_id,lat_centro,lon_centro,n_accidentes,n_graves,n_mortales,n_alcohol,sensores_imd_500m,idx_peligrosidad,categoria
PN_0086,40.46596759386013,-3.6899546642720997,115,7,0,2,69,0.2371,CRITICO
PN_0087,40.43785518529868,-3.6850484501720775,51,7,1,7,64,0.2371,CRITICO
PN_0088,40.43874945161261,-3.704225287991794,74,13,0,3,30,0.2367,CRITICO
PN_0089,40.41568453733978,-3.7207296760301256,7,3,3,1,83,0.2358,CRITICO
PN_0090,40.42698197702393,-3.7140362152168054,77,13,0,2,83,0.2356,CRITICO
PN_0091,40.39207150467518,-3.676049368923876,96,8,0,5,51,0.2348,CRITICO
PN_0092,40.43732325606444,-3.679091061303887,92,8,0,6,83,0.2345,CRITICO
PN_0093,40.42300993115307,-3.668915044167343,98,8,0,4,46,0.2322,CRITICO
PN_0094,40.4251576180965,-3.684101953253701,101,8,0,3,60,0.2311,CRITICO
PN_0095,40.42122449539812,-3.668939682453469,129,4,0,2,69,0.2305,CRITICO
PN_0096,40.480134316481355,-3.7129487982455065,88,10,0,3,84,0.2301,CRITICO
PN_0097,40.45403172506598,-3.702950267455575,55,8,1,3,89,0.2299,CRITICO
PN_0098,40.4522781903763,-3.6950653232357067,49,7,1,6,96,0.2286,CRITICO
PN_0099,40.43071907953818,-3.6889731132432826,56,7,1,4,41,0.2278,CRITICO
PN_0100,40.38527445601343,-3.717159272504363,89,1,0,17,81,0.2275,CRITICO
PN_0101,40.40708670683515,-3.69395680590082,84,9,0,5,66,0.2262,CRITICO
PN_0102,40.447054378254066,-3.7080771982445464,74,10,0,6,54,0.2261,CRITICO
PN_0103,40.4001895915433,-3.672881091199025,39,4,2,1,57,0.2254,CRITICO
PN_0104,40.4279831272554,-3.669010009989401,81,10,0,4,45,0.2253,CRITICO
PN_0105,40.38905479433575,-3.6439443346843,85,5,0,11,48,0.2246,CRITICO
PN_0106,40.371005342469275,-3.6947452658609983,66,5,1,4,65,0.2244,CRITICO
PN_0107,40.40086261951461,-3.713977038403827,101,6,0,5,106,0.224,CRITICO
PN_0108,40.43774947084863,-3.676995723127872,101,6,0,5,81,0.224,CRITICO
PN_0109,40.43186793212541,-3.65693522809304,79,12,0,1,94,0.2239,CRITICO
PN_0110,40.43026189798068,-3.7139647037480916,67,12,0,4,84,0.2228,CRITICO
PN_0111,40.422904232122725,-3.7100443025149845,68,5,1,3,80,0.2218,CRITICO
PN_0112,40.38181943215738,-3.668829652395992,55,10,0,10,32,0.2203,CRITICO
PN_0113,40.43477708545497,-3.6358373842111016,40,10,1,2,89,0.2203,CRITICO
PN_0114,40.42308832391085,-3.6911777636439704,87,9,0,3,69,0.2195,CRITICO
